index,question,value,response,correct
31,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"nasdaq_dasty, vivendi, nyse_az"," nasdaq_dasty, vivendi, nyse_az",True
32,Which companies have the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"vivendi, axa, nyse_az, otc_rwnef, otc_esocf"," vivendi 22042.00 tco2eq, axa 42423.00 tco2eq, nyse_az 112228.00 tco2eq, otc_rwnef 200000.00 tco2eq, otc_esocf 3280000.00 tco2eq",False
33,Which companies have the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"otc_esocf, otc_bayzf, axa, nyse_az"," otc_esocf, otc_bayzf, axa, nyse_az",True
34,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in million mt CO2e?,vivendi, vivendi,True
35,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,9720000.0, 9720000.00,True
36,What are the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"22042.0, 42423.0, 112228.0, 200000.0, 3280000.0"," 22042.00, 42423.00, 112228.00, 200000.00, 3280000.00",True
37,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"nasdaq_dasty, munich-re, deutsche-telekom-ag, otc_dpsgy, heidelberg-materials"," nasdaq_dasty, munich-re, deutsche-telekom-ag, otc_dpsgy, heidelberg-materials",True
38,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,4510000.0, 4510000.00 tco2eq,True
39,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"otc_rwnef, otc_bayzf, munich-re"," otc_rwnef, otc_bayzf, munich-re",True
40,What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"0.09, 3.13, 7.64"," 0.09, 3.13, 7.64",True
41,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,33.09, 33.09,True
42,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,otc_su, nyse_tte,False
43,What are the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"23800000.0, 9720000.0, 3130824.0"," 23800000.00, 9720000.00, 3130824.00",True
44,Which company has the smallest water consumption from 2022 to 2023 among the following companies in millions of cu.m?,munich-re, munich-re,True
45,What is the highest energy consumed in the last 2 years among the following companies in million kWh?,166000.0, 166000.00,True
46,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,otc_esocf," otc_esocf — 34.51 mtco2eq (2023), 53.07 mtco2eq (2022)",False
47,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,"otc_rwnef, munich-re"," otc_rwnef, munich-re",True
48,What are the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"5100000.0, 1120000.0, 37172.0, 30490.0"," 5100000.00, 1120000.00, 37172.00, 30490.00",True
49,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"71.04, 23.8, 9.72, 3.13"," 71.04, 23.80, 9.72, 3.13",True
